id_empleado,nombre,dni,email,salario,sucursal_id,cargo,tipo_evento,fecha_evento
E00328,Cecilia Diaz,62084114,cecilia.diaz@electrocasa.pe,4167.69,S34,Encargado de almacen,transferencia,2026-08-27
E01522,Pilar Flores,,pilar.flores@electrocasa.pe,2290.35,S25,Encargado de almacen,Alta,2026-08-27
E00118,Carmen Ramos,39067050,carmen.ramos@electrocasa.pe,3614.83,S36,Vendedor,ALTA,2026-02-13
E01668,Alberto Flores,46234150,alberto.flores@electrocasa.pe,3844.39,S13,Gerente de tienda,Transferencia,2026-08-03
E01237,Ana Salazar,36909483,ana.salazar@electrocasa.pe,3706.0,S26,Encargado de almacen,Alta,2026-02-25
E00586,Raul Torres,42956066,raul.torres@electrocasa.pe,3363.6,S28,Encargado de almacen,cambio_salario,2026-08-08
E01553,Victor Ortiz,59960185,victor.ortiz@electrocasa.pe,3863.34,S02,Asesor de ventas,baja,2026-05-26
E00231,Victor Mendoza,65787679,victor.mendoza@electrocasa.pe,3566.81,S23,Asesor de ventas,cambio salario,2026-01-17
E01641,Jose Medina,23609821,jose.medina@electrocasa.pe,3530.28,S33,Gerente de tienda,Alta,2026-08-22
E01916,Lucia Lopez,46998806,lucia.lopez@electrocasa.pe,3115.17,S32,Supervisor de tienda,transferencia,2026-01-06
E01773,Alberto Huaman,33374003,alberto.huaman@electrocasa.pe,2915.37,S28,Asesor de ventas,TRANSFERENCIA,2026-05-05
E01491,Cecilia Rivera,57306137,cecilia.rivera@electrocasa.pe,3062.35,S38,Encargado de almacen,cambio salario,2026-07-13
E01431,Oscar Garcia,17010450,oscar.garcia@electrocasa.pe,3501.49,S06,Cajero,ALTA,2026-06-24
E00188,Elena Perez,12596997,elena.perez@electrocasa.pe,2957.45,S33,Gerente de tienda,ALTA,2026-02-25
E00314,Jose Gonzalez,14823496,jose.gonzalez@electrocasa.pe,4868.31,S04,Asesor de ventas,CAMBIO_SALARIO,2026-04-19
E00587,Miguel Gonzalez,59290684,miguel.gonzalez@electrocasa.pe,3132.11,S03,Supervisor de tienda,alta,2026-04-22
E01469,Fernando Cruz,27397261,fernando.cruz@electrocasa.pe,1221.97,S02,Vendedor,transferencia,2026-01-10
E00176,Diana Castillo,,diana.castillo@electrocasa.pe,3883.36,S26,Vendedor,Alta,2026-02-21
E01519,Juan Aguilar,16089669,juan.aguilar@electrocasa.pe,4136.4,S23,Asesor de ventas,cambio salario,2026-07-01
E01599,Fernando Medina,58205639,fernando.medina@electrocasa.pe,4437.08,S01,Cajero,alta,2026-06-19
E00148,Karina Diaz,39278535,karina.diaz@electrocasa.pe,2740.8,S01,Encargado de almacen,CAMBIO_SALARIO,2026-06-28
E00719,Milagros Medina,29570214,milagros.medina@electrocasa.pe,3072.9,S08,Encargado de almacen,Alta,2026-05-22
E00981,Ana Vargas,55102607,ana.vargas@electrocasa.pe,4346.72,S05,Gerente de tienda,CAMBIO_SALARIO,2026-01-14
E00476,Raul Sanchez,62381172,raul.sanchez@electrocasa.pe,3362.56,S14,Encargado de almacen,Cambio Salario,2026-01-27
E00287,Vanessa Vargas,15858825,vanessa.vargas@electrocasa.pe,1974.28,S26,Encargado de almacen,Cambio Salario,2026-05-17
E01065,Carlos Castillo,13066336,carlos.castillo@electrocasa.pe,2504.12,S32,Asesor de ventas,Alta,2026-06-23
E01881,Sandra Garcia,42192594,sandra.garcia@electrocasa.pe,3191.12,S22,Vendedor,Cambio Salario,2026-08-13
E00951,Carmen Diaz,68423022,carmen.diaz@electrocasa.pe,2568.24,S06,Gerente de tienda,ALTA,2026-06-27
E01806,Maria Fernandez,37105383,maria.fernandez@electrocasa.pe,1691.0,S31,Encargado de almacen,Alta,2026-05-25
E01733,Elena Perez,11265887,elena.perez@electrocasa.pe,4782.33,S13,Cajero,cambio salario,2026-02-13
E01247,Sandra Castillo,14014910,sandra.castillo@electrocasa.pe,4461.74,S04,Gerente de tienda,ALTA,2026-04-13
E00163,Oscar Salazar,12053647,oscar.salazar@electrocasa.pe,3354.23,S11,Supervisor de tienda,Cambio Salario,2026-08-06
E01191,Hugo Torres,61623586,hugo.torres@electrocasa.pe,3117.0,S35,Vendedor,Alta,2026-06-09
E00644,Lucia Gonzalez,14102829,lucia.gonzalez@electrocasa.pe,2490.42,S20,Vendedor,alta,2026-02-13
E00673,Patricia Salazar,14146921,patricia.salazar@electrocasa.pe,3490.43,S20,Gerente de tienda,TRANSFERENCIA,2026-05-01
E00520,Jose Perez,64260031,jose.perez@electrocasa.pe,4206.68,S09,Supervisor de tienda,cambio_salario,2026-02-09
E01286,Ricardo Gonzalez,21194201,ricardo.gonzalez@electrocasa.pe,5292.07,S13,Cajero,cambio_salario,2026-05-18
E01868,Manuel Sanchez,62334071,manuel.sanchez@electrocasa.pe,4132.24,S05,Vendedor,ALTA,2026-08-08
E01894,Ana Garcia,38594197,ana.garcia@electrocasa.pe,4339.38,S37,Cajero,Transferencia,
E00733,Manuel Huaman,60904213,manuel.huaman@electrocasa.pe,2090.39,S07,Gerente de tienda,Baja,2026-07-26
E00261,Ana Perez,32305145,ana.perez@electrocasa.pe,2766.68,S20,Encargado de almacen,alta,2026-06-02
E00564,Vanessa Sanchez,,vanessa.sanchez@electrocasa.pe,2945.88,S31,Encargado de almacen,ALTA,2026-03-09
E00934,Gabriela Torres,29565896,gabriela.torres@electrocasa.pe,1330.92,S25,Vendedor,ALTA,2026-02-20
E01835,Karina Salazar,50237938,karina.salazar@electrocasa.pe,1794.51,S28,Asesor de ventas,cambio_salario,2026-01-15
E00571,Rosa Aguilar,12891655,rosa.aguilar@electrocasa.pe,2638.22,S13,Asesor de ventas,cambio salario,2026-06-26
E00127,Ricardo Chavez,38265532,ricardo.chavez@electrocasa.pe,2453.98,S34,Encargado de almacen,alta,2026-03-28
E01357,Carmen Ortiz,42378521,carmen.ortiz@electrocasa.pe,4402.19,S34,Cajero,TRANSFERENCIA,2026-04-17
E00824,Carmen Torres,71050118,carmen.torres@electrocasa.pe,1734.82,S01,Asesor de ventas,ALTA,2026-01-01
E00626,Lucia Ramos,16248868,lucia.ramos@electrocasa.pe,3882.23,S03,Encargado de almacen,cambio_salario,2026-06-25
E01606,Juan Cruz,66112043,juan.cruz@electrocasa.pe,4986.79,S04,Gerente de tienda,cambio_salario,2026-04-17
E00909,Vanessa Ramos,74762155,vanessa.ramos@electrocasa.pe,3484.49,S38,Encargado de almacen,CAMBIO_SALARIO,2026-04-08
E01528,Alberto Garcia,27374436,alberto.garcia@electrocasa.pe,1961.49,S18,Asesor de ventas,Transferencia,2026-01-16
E00728,Elena Diaz,76557665,elena.diaz@electrocasa.pe,2128.89,S18,Vendedor,alta,2026-03-24
E01787,Miguel Martinez,18962009,miguel.martinez@electrocasa.pe,3854.04,S31,Vendedor,Transferencia,2026-06-01
E01842,Vanessa Rodriguez,74266927,vanessa.rodriguez@electrocasa.pe,3662.4,S12,Cajero,cambio_salario,2026-06-15
E01797,Milagros Salazar,14639172,milagros.salazar@electrocasa.pe,1624.48,S21,Asesor de ventas,alta,2026-01-01
E01102,Alberto Mendoza,69432825,alberto.mendoza@electrocasa.pe,2007.74,S23,Encargado de almacen,ALTA,2026-05-25
E01900,Jose Medina,55100280,jose.medina@electrocasa.pe,3152.86,S14,Supervisor de tienda,TRANSFERENCIA,2026-02-17
E00851,Maria Cruz,34418551,maria.cruz@electrocasa.pe,1686.89,S07,Encargado de almacen,alta,2026-01-11
E01725,Fernando Martinez,57032352,fernando.martinez@electrocasa.pe,3706.97,S30,Vendedor,alta,2026-06-05
E00448,Rosa Ramos,56509739,rosa.ramos@electrocasa.pe,1373.66,S28,Cajero,transferencia,2026-02-27
E01267,Jose Martinez,53687801,jose.martinez@electrocasa.pe,2757.24,S34,Vendedor,ALTA,2026-04-06
E01318,Pedro Diaz,52440585,pedro.diaz@electrocasa.pe,1734.45,S29,Supervisor de tienda,alta,2026-07-05
E00402,Karina Medina,33774234,karina.medina@electrocasa.pe,3655.3,S05,Cajero,alta,2026-08-14
E00297,Sandra Romero,76563410,sandra.romero@electrocasa.pe,2523.18,S16,Vendedor,CAMBIO_SALARIO,2026-08-24
E00955,Karina Diaz,39421263,karina.diaz@electrocasa.pe,2562.64,S29,Cajero,baja,2026-04-17
E01324,Oscar Castillo,72797499,oscar.castillo@electrocasa.pe,1299.54,S19,Vendedor,ALTA,2026-02-15
E01538,Patricia Mendoza,17480037,patricia.mendoza@electrocasa.pe,4584.88,S07,Vendedor,CAMBIO_SALARIO,2026-02-20
E01626,Diana Cruz,71086261,diana.cruz@electrocasa.pe,1811.06,S28,Encargado de almacen,Transferencia,2026-02-07
E01473,Sandra Huaman,13292606,sandra.huaman@electrocasa.pe,2467.32,S22,Gerente de tienda,Alta,2026-02-04
E01155,Ana Castillo,47491039,ana.castillo@electrocasa.pe,3623.52,S24,Supervisor de tienda,transferencia,2026-07-02
E00178,Jose Ramos,24758774,jose.ramos@electrocasa.pe,4328.12,S27,Encargado de almacen,CAMBIO_SALARIO,2026-08-01
E01553,Victor Ortiz,59960185,victor.ortiz@electrocasa.pe,3863.34,S26,Asesor de ventas,ALTA,2026-05-21
E01479,Rosa Ramos,65682931,rosa.ramos@electrocasa.pe,3526.85,S08,Cajero,alta,2026-03-17
E01203,Diana Ortiz,38533453,diana.ortiz@electrocasa.pe,2869.42,S33,Vendedor,CAMBIO_SALARIO,2026-07-27
E00124,Hugo Garcia,72756767,hugo.garcia@electrocasa.pe,1914.29,S14,Encargado de almacen,Alta,2026-04-04
E01037,Patricia Lopez,27736830,patricia.lopez@electrocasa.pe,5168.74,S24,Supervisor de tienda,cambio salario,2026-07-20
E01106,Alberto Mendoza,36541931,alberto.mendoza@electrocasa.pe,3007.23,S07,Gerente de tienda,ALTA,2026-08-04
E01613,Luis Gonzalez,54206544,luis.gonzalez@electrocasa.pe,4273.1,S13,Gerente de tienda,alta,2026-06-11
E01406,Vanessa Huaman,68923074,vanessa.huaman@electrocasa.pe,2950.38,S36,Vendedor,baja,2026-04-07
E00080,Cecilia Gonzalez,70244568,cecilia.gonzalez@electrocasa.pe,3855.18,S38,Gerente de tienda,TRANSFERENCIA,2026-06-10
E01011,Maria Torres,51274388,maria.torres@electrocasa.pe,1430.08,S15,Vendedor,ALTA,2026-02-08
E01345,Diana Huaman,49698171,diana.huaman@electrocasa.pe,2976.24,S04,Supervisor de tienda,CAMBIO_SALARIO,2026-03-03
E01083,Maria Cruz,49253377,maria.cruz@electrocasa.pe,2639.55,S29,Vendedor,Alta,2026-04-10
E00466,Ana Salazar,25363577,ana.salazar@electrocasa.pe,1981.0,S10,Cajero,cambio salario,
E00423,Luis Garcia,48267318,luis.garcia@electrocasa.pe,4153.3,S30,Encargado de almacen,cambio salario,2026-03-09
E00329,Milagros Chavez,14484518,milagros.chavez@electrocasa.pe,2410.71,S07,Asesor de ventas,alta,2026-03-16
E00995,Manuel Mendoza,56286852,manuel.mendoza@electrocasa.pe,4281.91,S39,Cajero,Transferencia,2026-01-26
E01323,Maria Fernandez,60007350,maria.fernandez@electrocasa.pe,1233.47,S32,Supervisor de tienda,alta,2026-03-20
E01691,Sandra Mendoza,42620456,sandra.mendoza@electrocasa.pe,4190.76,S33,Asesor de ventas,ALTA,2026-03-01
E01736,Jose Cruz,31825324,jose.cruz@electrocasa.pe,4200.96,S32,Gerente de tienda,baja,2026-06-05
E01046,Lucia Medina,40740364,,3278.08,S34,Supervisor de tienda,alta,2026-01-23
E01838,Raul Sanchez,68491561,raul.sanchez@electrocasa.pe,3404.03,S37,Gerente de tienda,alta,2026-05-05
E01367,Raul Aguilar,76464381,raul.aguilar@electrocasa.pe,2846.88,S38,Cajero,alta,2026-03-04
E00126,Manuel Fernandez,39159344,manuel.fernandez@electrocasa.pe,4084.81,S17,Encargado de almacen,TRANSFERENCIA,2026-08-11
E01786,Jose Romero,34887228,jose.romero@electrocasa.pe,1643.02,S34,Vendedor,CAMBIO_SALARIO,2026-02-10
E00062,Karina Martinez,74726229,karina.martinez@electrocasa.pe,4122.75,S32,Encargado de almacen,alta,2026-07-19
E01363,Raul Lopez,69199740,raul.lopez@electrocasa.pe,1539.16,S11,Asesor de ventas,cambio_salario,2026-07-16
E01549,Victor Ramos,42315697,victor.ramos@electrocasa.pe,2246.06,S40,Encargado de almacen,alta,2026-06-25
E00114,Raul Vargas,61405449,raul.vargas@electrocasa.pe,2579.14,S11,Vendedor,alta,2026-08-21
E01993,Milagros Castillo,43924569,milagros.castillo@electrocasa.pe,2599.65,S03,Supervisor de tienda,Baja,2026-08-08
E00955,Karina Diaz,39421263,karina.diaz@electrocasa.pe,2562.64,S29,Cajero,ALTA,2026-08-24
E00475,Raul Vargas,32178712,raul.vargas@electrocasa.pe,3385.71,S20,Encargado de almacen,Cambio Salario,2026-02-11
E00246,Pedro Garcia,17305929,pedro.garcia@electrocasa.pe,3811.83,S05,Vendedor,ALTA,2026-08-21
E01173,Luis Garcia,11082650,luis.garcia@electrocasa.pe,2214.68,S28,Cajero,TRANSFERENCIA,2026-08-24
E01777,Miguel Gonzalez,32687515,miguel.gonzalez@electrocasa.pe,2157.48,S24,Encargado de almacen,alta,2026-04-10
E01143,Manuel Flores,45618607,manuel.flores@electrocasa.pe,2818.52,S05,Cajero,alta,2026-03-23
E01656,Juan Medina,11051970,juan.medina@electrocasa.pe,2883.42,S40,Encargado de almacen,CAMBIO_SALARIO,2026-02-21
E01976,Ana Fernandez,50089045,ana.fernandez@electrocasa.pe,4189.09,S18,Asesor de ventas,cambio_salario,2026-05-03
E01797,Milagros Salazar,14639172,milagros.salazar@electrocasa.pe,2113.7,S34,Asesor de ventas,transferencia,2026-07-17
E01518,Karina Flores,68844707,karina.flores@electrocasa.pe,3699.05,S13,Supervisor de tienda,Transferencia,2026-01-20
E00908,Raul Aguilar,52679383,raul.aguilar@electrocasa.pe,2833.1,S11,Supervisor de tienda,Alta,2026-03-03
E01059,Miguel Lopez,58245365,miguel.lopez@electrocasa.pe,1383.94,S12,Supervisor de tienda,ALTA,2026-03-02
E01688,Miguel Garcia,11818524,miguel.garcia@electrocasa.pe,2201.55,S15,Cajero,Alta,2026-01-06
E00409,Fernando Chavez,74998023,fernando.chavez@electrocasa.pe,3025.86,S07,Vendedor,alta,2026-01-14
E00969,Jorge Fernandez,50446761,jorge.fernandez@electrocasa.pe,2260.72,S12,Supervisor de tienda,alta,2026-03-27
E01776,Ana Mendoza,27834609,ana.mendoza@electrocasa.pe,1800.89,S31,Encargado de almacen,Transferencia,2026-08-19
E00561,Jose Quispe,35782941,,4102.62,S08,Asesor de ventas,alta,2026-06-28
E01665,Carmen Garcia,47799415,carmen.garcia@electrocasa.pe,2690.19,S09,Asesor de ventas,cambio salario,2026-04-13
E01144,Alberto Aguilar,27707714,alberto.aguilar@electrocasa.pe,4577.11,S40,Gerente de tienda,TRANSFERENCIA,2026-07-01
E00428,Pedro Vargas,75732337,pedro.vargas@electrocasa.pe,4201.82,S38,Cajero,Alta,2026-02-04
E00755,Lucia Fernandez,40480145,lucia.fernandez@electrocasa.pe,1238.69,S16,Gerente de tienda,ALTA,2026-05-13
E00262,Diana Quispe,79699008,diana.quispe@electrocasa.pe,2219.09,S24,Gerente de tienda,ALTA,2026-04-17
E00757,Victor Rivera,20308258,victor.rivera@electrocasa.pe,2370.68,S06,Gerente de tienda,Alta,2026-08-05
E01279,Vanessa Castillo,29525935,vanessa.castillo@electrocasa.pe,4036.89,S04,Asesor de ventas,Transferencia,2026-02-26
E00107,Manuel Rivera,74145755,manuel.rivera@electrocasa.pe,1377.52,S04,Supervisor de tienda,cambio salario,2026-07-28
E01627,Rosa Rivera,14487670,rosa.rivera@electrocasa.pe,1610.83,S03,Cajero,alta,2026-07-11
E01125,Ricardo Rivera,22768254,ricardo.rivera@electrocasa.pe,2868.0,S30,Supervisor de tienda,ALTA,2026-08-24
E00771,Miguel Huaman,76683950,miguel.huaman@electrocasa.pe,2015.46,S20,Encargado de almacen,cambio_salario,2026-04-17
E01874,Patricia Vargas,24730306,patricia.vargas@electrocasa.pe,1521.59,S10,Supervisor de tienda,alta,2026-07-03
E00020,Ana Quispe,22202913,ana.quispe@electrocasa.pe,3144.16,S35,Vendedor,alta,2026-06-07
E01857,Pilar Lopez,12455558,pilar.lopez@electrocasa.pe,3813.43,S08,Gerente de tienda,cambio_salario,2026-03-20
E00264,Luis Mendoza,19159443,luis.mendoza@electrocasa.pe,1670.17,S26,Vendedor,cambio_salario,2026-07-06
E00077,Jose Torres,78630031,jose.torres@electrocasa.pe,2328.05,S14,Asesor de ventas,ALTA,2026-04-01
E00415,Elena Martinez,10916500,elena.martinez@electrocasa.pe,3951.99,S14,Gerente de tienda,Cambio Salario,2026-03-12
E01966,Patricia Lopez,30673048,patricia.lopez@electrocasa.pe,4259.47,S16,Gerente de tienda,alta,2026-02-22
E01457,Victor Garcia,60566433,victor.garcia@electrocasa.pe,3008.73,S12,Cajero,alta,2026-03-12
E01238,Juan Aguilar,23235692,juan.aguilar@electrocasa.pe,2519.54,S05,Vendedor,Alta,2026-03-27
E01972,Patricia Flores,78630741,patricia.flores@electrocasa.pe,1444.14,S11,Cajero,Alta,2026-05-15
E01008,Fernando Flores,31594976,fernando.flores@electrocasa.pe,1267.47,S12,Encargado de almacen,alta,2026-06-26
E00743,Carlos Diaz,23647151,carlos.diaz@electrocasa.pe,1475.03,S40,Vendedor,TRANSFERENCIA,2026-01-18
E00534,Lucia Cruz,69776070,lucia.cruz@electrocasa.pe,3594.02,S06,Cajero,cambio_salario,2026-04-11
E00941,Jorge Martinez,39504083,jorge.martinez@electrocasa.pe,1337.17,S39,Asesor de ventas,alta,2026-04-17
E00865,Jose Garcia,59907169,jose.garcia@electrocasa.pe,4145.19,S39,Encargado de almacen,ALTA,2026-05-06
E00922,Elena Sanchez,13094643,elena.sanchez@electrocasa.pe,3519.43,S37,Supervisor de tienda,alta,2026-08-11
E00200,Gabriela Medina,27854362,gabriela.medina@electrocasa.pe,3329.17,S39,Supervisor de tienda,Alta,2026-03-18
E00544,Milagros Gonzalez,34664390,milagros.gonzalez@electrocasa.pe,3147.66,S12,Vendedor,Transferencia,2026-04-23
E00762,Maria Fernandez,36656218,maria.fernandez@electrocasa.pe,2425.39,S10,Cajero,Transferencia,2026-03-13
E00784,Ana Ramos,36028689,ana.ramos@electrocasa.pe,3712.95,S35,Vendedor,Cambio Salario,2026-03-13
E00786,Jose Diaz,46220383,jose.diaz@electrocasa.pe,2511.02,S26,Gerente de tienda,Alta,2026-01-03
E01141,Hugo Flores,43116242,hugo.flores@electrocasa.pe,2524.62,S19,Vendedor,Transferencia,2026-07-28
E00958,Fernando Castillo,14453385,fernando.castillo@electrocasa.pe,2541.9,S34,Vendedor,alta,2026-08-25
E01097,Maria Vargas,75978222,maria.vargas@electrocasa.pe,2768.08,S17,Cajero,Cambio Salario,2026-03-23
E00969,Jorge Fernandez,50446761,jorge.fernandez@electrocasa.pe,2260.72,S12,Supervisor de tienda,baja,2026-08-05
E00175,Carmen Perez,79699830,carmen.perez@electrocasa.pe,4772.67,S11,Encargado de almacen,CAMBIO_SALARIO,2026-05-27
E00419,Victor Castillo,71325864,victor.castillo@electrocasa.pe,3995.81,S23,Supervisor de tienda,alta,2026-01-07
E00806,Carmen Gonzalez,57286704,carmen.gonzalez@electrocasa.pe,3426.31,S36,Supervisor de tienda,Transferencia,2026-08-07
E00473,Maria Medina,,maria.medina@electrocasa.pe,2503.21,S30,Encargado de almacen,alta,2026-01-23
E01304,Ana Vargas,72257337,ana.vargas@electrocasa.pe,1316.55,S14,Gerente de tienda,ALTA,2026-06-25
E01543,Luis Salazar,38620434,luis.salazar@electrocasa.pe,1585.54,S36,Asesor de ventas,cambio salario,2026-01-24
E01499,Ricardo Mendoza,76877006,ricardo.mendoza@electrocasa.pe,2835.47,S29,Cajero,Alta,2026-08-02
E00830,Ricardo Flores,38392308,ricardo.flores@electrocasa.pe,4399.18,S39,Encargado de almacen,Alta,2026-03-16
E01556,Karina Vargas,17006918,karina.vargas@electrocasa.pe,3887.12,S28,Supervisor de tienda,alta,2026-06-23
E01015,Ana Mendoza,43030013,ana.mendoza@electrocasa.pe,1595.48,S02,Vendedor,alta,2026-06-20
E01924,Maria Gonzalez,57202668,maria.gonzalez@electrocasa.pe,4144.1,S04,Asesor de ventas,transferencia,2026-03-21
E01900,Jose Medina,55100280,jose.medina@electrocasa.pe,3152.86,S39,Supervisor de tienda,Alta,2026-01-19
E01248,Maria Castillo,70631782,maria.castillo@electrocasa.pe,3349.69,S32,Asesor de ventas,Alta,2026-06-13
E01289,Oscar Torres,71078526,oscar.torres@electrocasa.pe,1745.68,S10,Cajero,Alta,2026-03-17
E01406,Vanessa Huaman,68923074,vanessa.huaman@electrocasa.pe,2950.38,S36,Vendedor,baja,2026-04-19
E01077,Rosa Quispe,32350844,rosa.quispe@electrocasa.pe,1316.45,S21,Cajero,ALTA,2026-04-11
E01803,Gabriela Mendoza,35569845,gabriela.mendoza@electrocasa.pe,3673.64,S36,Vendedor,Alta,2026-04-20
E00954,Miguel Garcia,50772467,miguel.garcia@electrocasa.pe,4171.23,S16,Vendedor,Alta,2026-08-14
E00880,Luis Rivera,13838306,luis.rivera@electrocasa.pe,1752.99,S01,Gerente de tienda,cambio salario,2026-06-06
E00076,Carlos Ortiz,37061979,carlos.ortiz@electrocasa.pe,3568.78,S39,Encargado de almacen,Alta,2026-06-14
E00734,Cecilia Cruz,26959101,cecilia.cruz@electrocasa.pe,1926.56,S31,Asesor de ventas,cambio salario,2026-02-19
E01045,Cecilia Fernandez,19329092,cecilia.fernandez@electrocasa.pe,4435.36,S08,Asesor de ventas,cambio salario,2026-04-07
E00852,Ana Chavez,34843750,ana.chavez@electrocasa.pe,1265.85,S29,Encargado de almacen,Transferencia,2026-08-20
E01397,Rosa Rodriguez,34654487,rosa.rodriguez@electrocasa.pe,1846.42,S37,Gerente de tienda,ALTA,2026-07-12
E01382,Patricia Medina,26536557,patricia.medina@electrocasa.pe,1667.61,S24,Asesor de ventas,baja,2026-04-12
E00356,Pilar Rivera,44064377,pilar.rivera@electrocasa.pe,3405.13,S23,Asesor de ventas,CAMBIO_SALARIO,2026-05-19
E01026,Pilar Garcia,78325358,pilar.garcia@electrocasa.pe,2058.06,S32,Supervisor de tienda,transferencia,2026-03-19
E00741,Cecilia Medina,13715732,cecilia.medina@electrocasa.pe,2440.61,S23,Cajero,BAJA,2026-03-25
E00349,Luis Quispe,45656080,luis.quispe@electrocasa.pe,3615.48,S31,Supervisor de tienda,Alta,2026-07-27
E00859,Ana Martinez,45784919,ana.martinez@electrocasa.pe,2926.79,S20,Encargado de almacen,alta,2026-05-10
E00684,Elena Quispe,73944355,elena.quispe@electrocasa.pe,4052.98,S33,Vendedor,cambio salario,2026-06-20
E00156,Hugo Quispe,59890048,hugo.quispe@electrocasa.pe,3772.16,S28,Gerente de tienda,cambio_salario,2026-08-12
E00539,Victor Martinez,69153750,victor.martinez@electrocasa.pe,1364.34,S36,Asesor de ventas,cambio_salario,2026-03-12
E01539,Maria Cruz,63679123,maria.cruz@electrocasa.pe,2316.25,S36,Cajero,cambio_salario,2026-01-20
E01124,Elena Romero,51916750,elena.romero@electrocasa.pe,1536.24,S25,Cajero,Alta,2026-08-14
E01217,Pilar Chavez,15869741,pilar.chavez@electrocasa.pe,1879.37,S14,Supervisor de tienda,ALTA,2026-05-17
E00809,Diana Mendoza,26732746,,1242.4,S34,Asesor de ventas,alta,2026-01-26
E00942,Milagros Rodriguez,73459043,milagros.rodriguez@electrocasa.pe,1408.33,S16,Cajero,ALTA,2026-03-17
E01898,Alberto Rivera,72915578,alberto.rivera@electrocasa.pe,3554.16,S28,Asesor de ventas,Transferencia,2026-01-18
E00216,Vanessa Ramos,69673764,vanessa.ramos@electrocasa.pe,2550.2,S13,Cajero,transferencia,
E01685,Alberto Flores,48988638,alberto.flores@electrocasa.pe,4282.08,S20,Cajero,ALTA,2026-05-17
E01984,Fernando Lopez,14483564,fernando.lopez@electrocasa.pe,3193.59,S19,Gerente de tienda,Alta,2026-07-05
E00090,Maria Huaman,60372351,maria.huaman@electrocasa.pe,1320.01,S06,Cajero,CAMBIO_SALARIO,
E00770,Alberto Castillo,75288961,alberto.castillo@electrocasa.pe,3375.42,S12,Supervisor de tienda,Transferencia,2026-08-07
E01545,Pilar Fernandez,28805014,pilar.fernandez@electrocasa.pe,1284.12,S18,Vendedor,alta,2026-07-21
E00759,Raul Perez,39912408,raul.perez@electrocasa.pe,1529.53,S02,Encargado de almacen,ALTA,2026-08-11
E01173,Luis Garcia,11082650,luis.garcia@electrocasa.pe,2214.68,S16,Cajero,Alta,2026-08-02
E00794,Patricia Fernandez,65425521,patricia.fernandez@electrocasa.pe,1611.87,S07,Asesor de ventas,TRANSFERENCIA,2026-01-03
E00858,Vanessa Aguilar,16876370,vanessa.aguilar@electrocasa.pe,2375.36,S16,Gerente de tienda,ALTA,2026-02-24
E01799,Manuel Chavez,29680748,manuel.chavez@electrocasa.pe,1762.03,S27,Gerente de tienda,CAMBIO_SALARIO,2026-03-09
E01681,Jose Vargas,72050054,jose.vargas@electrocasa.pe,3737.29,S07,Supervisor de tienda,Alta,2026-07-15
